,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
89,EUR199512,workday,D,rural_bare,285.9103699,22.14176178,-19.36552048,650,0.214517832,0.343597472,0.661751747
90,EUR199512,weekend,D,urban,288.1686096,22.86634445,-17.32701683,395,0.243052065,0.381412059,0.762444675
91,EUR199512,weekend,D,rural_bare,285.4620972,22.6832962,-19.17934227,250,0.347601086,0.537330329,1.076526523
92,EUR199512,workday,N,urban,278.1435547,13.61240673,-26.71705437,1950,0.097846411,0.14464888,0.553022504
93,EUR199512,workday,N,rural_bare,275.4169617,12.25191593,-31.13394928,1326,0.130050778,0.176755726,0.835498929
94,EUR199512,weekend,N,urban,278.4310303,13.70487785,-26.66466141,803,0.159796208,0.236659423,0.898338556
95,EUR199512,weekend,N,rural_bare,275.1035461,13.33616352,-31.79382515,512,0.22430779,0.312836051,1.277444959
96,EUR199513,workday,D,urban,291.9474487,14.19308567,-14.64641571,581,0.144586146,0.202917293,0.798120558
97,EUR199513,workday,D,rural_bare,289.8451538,11.75703716,-16.38468933,239,0.279124945,0.380046308,1.275888443
98,EUR199513,weekend,D,urban,291.5350952,14.36963177,-12.45196152,209,0.217318803,0.297411323,1.237141013
99,EUR199513,weekend,D,rural_bare,289.4359131,10.79989624,-16.7659359,81,0.559887111,0.710451305,2.872585058
100,EUR199513,workday,N,urban,281.0368652,6.304935932,-33.83912277,1496,0.068553686,0.098945782,0.863290489
101,EUR199513,workday,N,rural_bare,280.3392944,4.863736629,-40.0217514,570,0.138922408,0.184331447,1.847549319
102,EUR199513,weekend,N,urban,280.7731018,6.291680813,-31.14733315,654,0.098996989,0.143412024,1.259375095
103,EUR199513,weekend,N,rural_bare,280.1256714,4.918040752,-41.80905151,246,0.200018674,0.256653279,2.845185995
104,EUR199514,workday,D,urban,291.0647888,17.99080658,-15.64453411,1052,0.13375099,0.204885006,0.548591018
105,EUR199514,workday,D,rural_bare,289.7303467,17.11961746,-18.87078285,567,0.224148229,0.338808656,0.798936605
106,EUR199514,weekend,D,urban,290.8458862,17.69357872,-16.42599869,433,0.214976043,0.340580195,0.884019375
107,EUR199514,weekend,D,rural_bare,289.3110962,16.88912201,-19.77253151,238,0.359327674,0.552735627,1.276253462
108,EUR199514,workday,N,urban,279.5982361,9.77230835,-30.82801247,1897,0.082736053,0.119980961,0.675514817
109,EUR199514,workday,N,rural_bare,278.600647,9.473498344,-32.01248169,878,0.129539594,0.168755859,1.146807671
110,EUR199514,weekend,N,urban,279.6734619,9.561014175,-31.93917084,782,0.123676948,0.179170609,1.025941253
111,EUR199514,weekend,N,rural_bare,278.6608276,9.077530861,-33.92969894,363,0.200114414,0.249519348,1.90596652
112,EUR199515,workday,D,urban,288.5513611,23.89720917,-17.45971107,1026,0.147215515,0.23254998,0.45024848
113,EUR199515,workday,D,rural_bare,286.2567444,22.9944458,-20.2736187,699,0.185447529,0.31316337,0.580587626
114,EUR199515,weekend,D,urban,288.8611145,23.81687546,-17.73370552,385,0.245434016,0.386055857,0.741191447
115,EUR199515,weekend,D,rural_bare,286.2046509,23.65032005,-20.26110649,264,0.31591776,0.52804482,0.955307066
116,EUR199515,workday,N,urban,278.443512,14.52251148,-26.27729225,1969,0.098250881,0.142631114,0.534679234
117,EUR199515,workday,N,rural_bare,276.0747681,13.32655048,-28.33039284,1683,0.109185077,0.156619981,0.650081098
118,EUR199515,weekend,N,urban,278.4158325,14.73637199,-25.57090569,821,0.160149455,0.231264398,0.862708747
119,EUR199515,weekend,N,rural_bare,276.1092529,13.6974535,-27.20063782,680,0.179241493,0.259129614,1.030408502
120,EUR199516,workday,D,urban,291.7698364,15.48070908,-15.33038425,889,0.116788626,0.172521651,0.592107534
121,EUR199516,workday,D,rural_bare,289.0921631,14.02504444,-17.91577148,362,0.199273899,0.298897147,0.940838754
122,EUR199516,weekend,D,urban,291.6524658,15.22086143,-16.10654831,391,0.180441529,0.267880857,0.929585218
